,0
0,3.0
1,2.0
2,3.0
3,5.0
4,4.0
5,1.0
6,5.0
7,6.0
8,0.0
9,0.0
10,1.0
11,2.0
12,5.0
13,2.0
14,1.0
15,4.0
16,1.0
17,4.0
18,2.0
19,1.0
20,6.0
21,6.0
22,0.0
23,2.0
24,3.0
25,0.0
26,1.0
27,3.0
28,1.0
29,2.0
30,4.0
31,1.0
32,3.0
33,2.0
34,0.0
35,1.0
36,4.0
37,6.0
38,6.0
39,4.0
40,6.0
41,1.0
42,0.0
43,2.0
44,5.0
45,0.0
46,4.0
47,3.0
48,0.0
49,0.0
50,1.0
51,6.0
52,3.0
53,2.0
54,2.0
55,6.0
56,5.0
57,1.0
58,3.0
59,1.0
60,4.0
61,6.0
62,6.0
63,1.0
64,3.0
65,6.0
66,3.0
67,0.0
68,4.0
69,1.0
70,2.0
71,4.0
72,1.0
73,5.0
74,0.0
75,1.0
76,4.0
77,0.0
78,2.0
79,5.0
80,5.0
81,2.0
82,5.0
83,3.0
84,4.0
85,0.0
86,3.0
87,5.0
88,0.0
89,6.0
90,6.0
91,6.0
92,6.0
93,0.0
94,1.0
95,1.0
96,4.0
97,6.0
98,5.0
99,1.0
100,0.0
101,4.0
102,5.0
103,3.0
104,6.0
105,4.0
106,6.0
107,2.0
108,3.0
109,3.0
110,4.0
111,5.0
112,2.0
113,6.0
114,6.0
115,1.0
116,0.0
117,5.0
118,4.0
119,3.0
120,2.0
121,4.0
122,1.0
123,1.0
124,0.0
125,3.0
126,5.0
127,2.0
128,3.0
129,3.0
130,2.0
131,2.0
132,2.0
133,5.0
134,3.0
135,0.0
136,4.0
137,1.0
138,6.0
139,5.0
140,6.0
141,4.0
142,0.0
143,6.0
144,2.0
145,5.0
146,3.0
147,5.0
148,4.0
149,2.0
150,5.0
151,6.0
152,1.0
153,5.0
154,0.0
155,3.0
156,0.0
157,0.0
158,2.0
159,5.0
160,0.0
161,1.0
162,6.0
163,5.0
164,6.0
165,1.0
166,6.0
167,5.0
168,0.0
169,4.0
170,4.0
171,1.0
172,6.0
173,6.0
174,6.0
175,6.0
176,4.0
177,5.0
178,5.0
179,5.0
180,6.0
181,5.0
182,4.0
183,2.0
184,0.0
185,6.0
186,1.0
187,0.0
188,2.0
189,5.0
190,3.0
191,2.0
192,5.0
193,6.0
194,3.0
195,6.0
196,5.0
197,3.0
198,5.0
199,0.0
200,0.0
201,6.0
202,6.0
203,2.0
204,0.0
205,1.0
206,6.0
207,0.0
208,5.0
209,0.0
210,6.0
211,1.0
212,0.0
213,6.0
214,0.0
215,6.0
216,2.0
217,0.0
218,0.0
219,0.0
220,2.0
221,0.0
222,0.0
223,6.0
224,1.0
225,1.0
226,5.0
227,5.0
228,5.0
229,0.0
230,1.0
231,5.0
232,3.0
233,5.0
234,5.0
235,5.0
236,0.0
237,3.0
238,6.0
239,5.0
240,3.0
241,2.0
242,0.0
243,5.0
244,0.0
245,0.0
246,6.0
247,1.0
248,3.0
249,6.0
250,2.0
251,4.0
252,3.0
253,3.0
254,1.0
255,2.0
256,1.0
257,2.0
258,5.0
259,6.0
260,2.0
261,6.0
262,1.0
263,3.0
264,0.0
265,1.0
266,1.0
267,2.0
268,0.0
269,6.0
270,4.0
271,4.0
272,2.0
273,2.0
274,2.0
275,6.0
276,3.0
277,0.0
278,2.0
279,1.0
280,0.0
281,6.0
282,2.0
283,3.0
284,6.0
285,3.0
286,3.0
287,2.0
288,6.0
289,4.0
290,3.0
291,4.0
292,5.0
293,3.0
294,0.0
295,0.0
296,2.0
297,2.0
298,3.0
299,5.0
300,5.0
301,4.0
302,6.0
303,2.0
304,6.0
305,5.0
306,5.0
307,0.0
308,4.0
309,6.0
310,6.0
311,4.0
312,0.0
313,1.0
314,3.0
315,3.0
316,6.0
317,4.0
318,6.0
319,4.0
320,6.0
321,6.0
322,1.0
323,1.0
324,6.0
325,3.0
326,1.0
327,5.0
328,0.0
329,0.0
330,4.0
331,0.0
332,5.0
333,2.0
334,6.0
335,4.0
336,3.0
337,1.0
338,1.0
339,0.0
340,6.0
341,3.0
342,3.0
343,4.0
344,0.0
345,2.0
346,4.0
347,3.0
348,2.0
349,3.0
350,6.0
351,0.0
352,3.0
353,6.0
354,1.0
355,5.0
356,2.0
357,2.0
358,6.0
359,3.0
360,5.0
361,3.0
362,0.0
363,2.0
364,1.0
365,2.0
366,4.0
367,1.0
368,5.0
369,5.0
370,1.0
371,2.0
372,4.0
373,6.0
374,2.0
375,3.0
376,4.0
377,1.0
378,5.0
379,1.0
380,1.0
381,6.0
382,2.0
383,2.0
384,2.0
385,6.0
386,3.0
387,4.0
388,1.0
389,4.0
390,5.0
391,1.0
392,4.0
393,6.0
394,0.0
395,4.0
396,4.0
397,2.0
398,6.0
399,4.0
400,5.0
401,6.0
402,2.0
403,4.0
404,2.0
405,3.0
406,2.0
407,1.0
408,4.0
409,4.0
410,5.0
411,6.0
412,3.0
413,3.0
414,2.0
415,0.0
416,0.0
417,3.0
418,2.0
419,0.0
420,3.0
421,2.0
422,4.0
423,3.0
424,2.0
425,2.0
426,4.0
427,0.0
428,5.0
429,1.0
430,4.0
431,5.0
432,5.0
433,2.0
434,0.0
435,0.0
436,1.0
437,2.0
438,2.0
439,2.0
440,1.0
441,2.0
442,6.0
443,4.0
444,4.0
445,5.0
446,0.0
447,5.0
448,2.0
449,6.0
450,0.0
451,4.0
452,3.0
453,1.0
454,6.0
455,4.0
456,0.0
457,0.0
458,1.0
459,5.0
460,3.0
461,5.0
462,1.0
463,2.0
464,0.0
465,6.0
466,6.0
467,5.0
468,3.0
469,0.0
470,0.0
471,2.0
472,4.0
473,6.0
474,3.0
475,3.0
476,0.0
477,6.0
478,1.0
479,3.0
480,1.0
481,1.0
482,5.0
483,6.0
484,4.0
485,4.0
486,5.0
487,6.0
488,2.0
489,3.0
490,1.0
491,1.0
492,2.0
493,4.0
494,6.0
495,2.0
496,0.0
497,6.0
498,2.0
499,3.0
500,3.0
501,6.0
502,2.0
503,2.0
504,0.0
505,1.0
506,3.0
507,0.0
508,0.0
509,6.0
510,6.0
511,2.0
512,5.0
513,1.0
514,3.0
515,2.0
516,4.0
517,2.0
518,2.0
519,4.0
520,0.0
521,1.0
522,5.0
523,4.0
524,5.0
525,1.0
526,2.0
527,3.0
528,0.0
529,1.0
530,6.0
531,3.0
532,2.0
533,6.0
534,2.0
535,0.0
536,5.0
537,5.0
538,5.0
539,4.0
540,5.0
541,6.0
542,6.0
543,1.0
544,0.0
545,0.0
546,2.0
547,5.0
548,4.0
549,6.0
550,1.0
551,1.0
552,2.0
553,4.0
554,1.0
555,6.0
556,2.0
557,0.0
558,3.0
559,5.0
560,5.0
561,4.0
562,5.0
563,0.0
564,5.0
565,6.0
566,0.0
567,3.0
568,0.0
569,1.0
570,0.0
571,3.0
572,4.0
573,6.0
574,1.0
575,4.0
576,6.0
577,3.0
578,3.0
579,5.0
580,6.0
